n = 100,,n = 500,,n = 1000,,n = 2500,,n = 5000,
k ,t,k,t,k,t,k,t,k,t
599,13,16847,165,67346,517,400643,5676,1603220,48800
252,4,5623,38,22353,126,139074,1738,549195,13095
127,1,2819,16,11018,56,71571,811,271821,5979
79,1,1598,12,6384,38,40940,436,162446,3194
36,2,1121,8,4149,25,26646,292,106460,2270
33,1,733,6,3070,16,19039,201,74202,1522
15,1,552,4,2399,13,14132,149,55324,1039
15,1,428,4,1861,10,10857,121,43355,1030
14,1,338,4,1371,9,8652,101,34562,1002
9,0,268,4,1139,8,6847,82,28627,631
15,1,238,3,945,5,5756,69,24014,478
5,1,171,3,752,7,5057,60,19953,435
4,0,150,3,672,5,4303,50,17288,377
6,0,145,2,576,4,3609,47,14616,310
4,1,123,2,539,6,3178,44,12968,318
3,0,123,3,474,4,2856,40,11333,277
5,0,99,2,408,4,2560,41,10371,254
8,0,82,2,337,4,2275,34,9033,246
3,1,90,2,302,3,2081,32,8189,218
2,0,93,1,260,4,1836,32,7383,203
